person_id;person_trip_id;leg_index;access_stop_id;egress_stop_id;transit_line_id;transit_route_id;access_area_id;egress_area_id;transit_mode
1006879;1;8;IDFM:463094.link:pt_IDFM:463094;IDFM:463154.link:pt_IDFM:463154;IDFM:C01372;IDFM:RATP:174679-C01372-COU_RATP_02JOCAMELIA4_2024_2017239294_Daup04Nat223-22;IDFM:71426;IDFM:71376;subway
11356760;1;12;IDFM:monomodalStopPlace:53783.link:680485;IDFM:monomodalStopPlace:45102.link:150653;IDFM:C01742;IDFM:TN:SNCF:31003780-455e-471e-87fa-29bb4c66cded;IDFM:64483;IDFM:474151;rail
10898258;2;5;IDFM:472986.link:pt_IDFM:472986;IDFM:472194.link:pt_IDFM:472194;IDFM:C01999;IDFM:TN:SNCF:a47fb2b5-634e-44ea-88bc-e949a10d7db3;IDFM:72383;IDFM:72641;tram
2571840;1;12;IDFM:411237.link:585260;IDFM:15219.link:371824;IDFM:C00631;IDFM:TRANSDEV_MARNE_LA_VALLEE:167083-C00631-19497875;IDFM:67625;IDFM:67735;bus
9481980;0;1;IDFM:25567.link:667121;IDFM:28928.link:419891;IDFM:C01303;IDFM:RATP:155808-C01303-COU_RATP_5110913_3104194_63;IDFM:72702;IDFM:72355;bus
8544545;3;10;IDFM:2177.link:485839;IDFM:26444.link:575695;IDFM:C01245;IDFM:RATP:174211-C01245-COU_RATP_5119407_3108112_47;IDFM:72292;IDFM:415632;bus
7896030;2;7;IDFM:monomodalStopPlace:43179.link:445708;IDFM:monomodalStopPlace:462394.link:319240;IDFM:C01728;IDFM:TN:SNCF:520654f1-4d7e-42be-b33b-98ebf9365be3;IDFM:72787;IDFM:71410;rail
11937419;1;6;IDFM:39644.link:457604;IDFM:38145.link:407086;IDFM:C01251;IDFM:RATP:181166-C01251-COU_RATP_5119460_2574776_54;IDFM:66009;IDFM:482863;bus
5312450;1;12;IDFM:2513.link:104640;IDFM:2497.link:65376;IDFM:C00376;IDFM:KVYVS:175710-C00376-3415-260;IDFM:478505;IDFM:60946;bus
11378400;1;12;IDFM:421845.link:485748;IDFM:20533.link:285192;IDFM:C00265;IDFM:KRO6:183731-C00265-1338-260;IDFM:65758;IDFM:65654;bus
8757752;2;13;IDFM:21981.link:pt_IDFM:21981;IDFM:22016.link:pt_IDFM:22016;IDFM:C01375;IDFM:RATP:158918-C01375-COU_RATP_5112974_3263586_239;IDFM:71135;IDFM:72024;subway
6690249;1;12;IDFM:25642.link:pt_IDFM:25642;IDFM:23436.link:pt_IDFM:23436;IDFM:C01390;IDFM:RATP:183282-C01390-COU_RATP_5124359_3314171_2;IDFM:71517;IDFM:72137;tram
10517279;3;8;IDFM:27588.link:49136;IDFM:27066.link:15336;IDFM:C01071;IDFM:RATP:153706-C01071-COU_RATP_5110097_3202889_153;IDFM:70309;IDFM:412677;bus
1143795;1;6;IDFM:21969.link:pt_IDFM:21969;IDFM:21907.link:pt_IDFM:21907;IDFM:C01380;IDFM:RATP:153918-C01380-COU_RATP_5110507_296022_188;IDFM:71199;IDFM:71206;subway
7767553;2;9;IDFM:40770.link:154003;IDFM:23485.link:671804;IDFM:C01096;IDFM:RATP:169088-C01096-COU_RATP_5118001_3275759_110;IDFM:482775;IDFM:72035;bus
310816;3;10;IDFM:463045.link:pt_IDFM:463045;IDFM:463165.link:pt_IDFM:463165;IDFM:C01384;IDFM:RATP:174677-C01384-COU_RATP_14JONINEY02_2025_1249031566_Sm1412Or1419-3;IDFM:71557;IDFM:71576;subway
12214554;1;10;IDFM:22047.link:pt_IDFM:22047;IDFM:462980.link:pt_IDFM:462980;IDFM:C01382;IDFM:RATP:175718-C01382-COU_RATP_12JOFIGNON_2024_-1544961128_Vers12Vers11-3;IDFM:71091;IDFM:71139;subway
6289171;0;7;IDFM:35730.link:91737;IDFM:492781.link:584452;IDFM:C00062;IDFM:TRANSDEV_SUD_YVELINES:183629-C00062-19902532;IDFM:63893;IDFM:63239;bus
5302128;1;6;IDFM:3552.link:26704;IDFM:3117.link:503108;IDFM:C00666;IDFM:TRANSDEV_COEUR_ESSONNE:181001-C00666-19840294;IDFM:60912;IDFM:478505;bus
7415235;1;8;IDFM:monomodalStopPlace:45873.link:300989;IDFM:monomodalStopPlace:470549.link:327581;IDFM:C01742;IDFM:TN:SNCF:8f24d05c-c255-47ab-bbe4-d3d527c9a15b;IDFM:478926;IDFM:71517;rail
2312585;1;6;IDFM:monomodalStopPlace:470549.link:300141;IDFM:monomodalStopPlace:470195.link:697841;IDFM:C01742;IDFM:TN:SNCF:eeac3733-97d9-46c1-ac62-8874983df776;IDFM:71517;IDFM:73626;rail
